Wall time,Step,Value
1566125861.6403635,0,4.401890277862549
1566129020.6029701,1,2.4146668910980225
1566132179.8854582,2,1.9031163454055786
1566135331.2306914,3,1.6371623277664185
1566138492.064269,4,1.4811874628067017
1566141636.3533115,5,1.3617385625839233
1566144792.9786806,6,1.260051965713501
1566147960.6750553,7,1.1757210493087769
1566151105.0426946,8,1.1263532638549805
1566154254.5384893,9,1.0645332336425781
1566157412.0394733,10,1.02126944065094
1566160564.146494,11,0.9810489416122437
1566163719.6675603,12,0.9507643580436707
1566166866.3600492,13,0.9174326658248901
1566170019.0195186,14,0.8907985091209412
1566173170.2040007,15,0.8705599904060364
1566176319.354958,16,0.8534775376319885
1566179488.0848694,17,0.8324467539787292
1566182667.12199,18,0.8186414837837219
1566185813.9426498,19,0.8065831661224365
1566188993.0544543,20,0.792571485042572
1566192145.7457726,21,0.7831759452819824
1566195295.3082802,22,0.7721020579338074
1566198445.0233507,23,0.7660263776779175
1566201600.271226,24,0.7552117705345154
1566204754.765996,25,0.7473861575126648
1566207930.3594162,26,0.7476078867912292
1566211212.170206,27,0.7424506545066833
1566214415.2137263,28,0.7361425757408142
1566217569.0093894,29,0.7276560664176941
1566220736.1974504,30,0.7272171974182129
1566223895.0333266,31,0.7231846451759338
1566227041.6551387,32,0.7186654806137085
1566230189.9760144,33,0.7128203511238098
1566233346.8084826,34,0.7141967415809631
1566236490.2393594,35,0.7121444344520569
1566239651.164104,36,0.7110430002212524
1566242814.880039,37,0.7107563614845276
1566246045.0592575,38,0.7039489150047302
1566249232.6985822,39,0.7050259709358215
1566252383.7248793,40,0.7055255174636841
1566255535.102383,41,0.7054020166397095
1566258694.1937912,42,0.7016821503639221
1566261853.1463575,43,0.7015699148178101
1566265000.4352543,44,0.7005225419998169
1566268161.4616697,45,0.7015642523765564
1566271400.4755023,46,0.7020432949066162
1566274722.8559494,47,0.7044402956962585
1566277875.2321131,48,0.7022059559822083
1566281033.1942947,49,0.6951884627342224
