precision,recall
0.3510989226248776,1.0
0.3539452368722589,0.9995759780401259
0.356808671741123,0.9990626882992256
0.35975398962897454,0.9986386663393515
0.3626594648954202,0.997946841036399
0.36566547483656653,0.9973889174049856
0.3686456768313824,0.9966078243210069
0.3717170202663868,0.9958936820727978
0.3749127924081063,0.9954027092771541
0.37815667811850534,0.9948671025909973
0.3813910482517722,0.9941752772880448
0.3846632446725774,0.9934165011493227
0.38794487090020935,0.9925238233390613
0.3913805401692542,0.9918543149813653
0.3947953341157225,0.9909839541163605
0.3982961074403907,0.9901359101966123
0.401901947274903,0.9893771340578902
0.40550611587196955,0.9884398223571158
0.40907535671681816,0.987234707313263
0.4128416372433634,0.9863643464482582
0.416580956245223,0.9852484991854314
0.4204791366769307,0.9843335044299136
0.42435509661510007,0.9831507063313174
0.42837397186937265,0.9821464437947733
0.43259355447999054,0.9813653507107947
0.4366809187630506,0.9800932848311723
0.4408873431971695,0.9788881697873195
0.44510385756676557,0.9774822022361579
0.4493423756678997,0.9759200160682006
0.45362442329273867,0.9742462451739606
0.45804607365058014,0.9726617420607467
0.4626121529106604,0.971166506728559
0.4671678065987009,0.9694704188890625
0.47199129488574537,0.9680198174473879
0.4766608304978362,0.9660336093195563
0.4814550641940086,0.964092035082238
0.4863444074679903,0.9621281438996631
0.49144625645242335,0.9603651052243969
0.4966003700277521,0.9584235309870784
0.5018502037566163,0.9564150059139905
0.5071872479719152,0.9543618469503894
0.5127179228393949,0.9523310049320449
0.5183327652529581,0.9502555290231873
0.5241466934757669,0.9482693208953559
0.5297552071612532,0.9456359213550849
0.5356196849295971,0.9431587404316097
0.5416564929640815,0.9406369256176215
0.5480953435940208,0.9385837666540204
0.5543790072047062,0.9358834162779799
0.5609141140496754,0.9333839184092482
0.5676451775337171,0.9308397866500033
0.5745797593889418,0.9283626057265282
0.5813960010095628,0.9253498181168962
0.588211005908735,0.9219799593831597
0.595349308036037,0.9187663192662189
0.6026298391243664,0.9153964605324824
0.6098751791686574,0.9115802628936152
0.6172863864015784,0.9076971144189784
0.6249884269975002,0.9039032337253676
0.6331152017324985,0.9003548394295788
0.6414796130144641,0.8967171773527639
0.6500796048997628,0.8930125644401794
0.6583482172388702,0.8884152737173335
0.6670595763311218,0.8840634693923096
0.6759691252144082,0.8794884956147203
0.6856638529159894,0.8755607132495704
0.6951619224055007,0.8709187886362115
0.7053587647593097,0.8665669843111875
0.7162420087093486,0.8625945680555246
0.7275581021538927,0.8586221517998617
0.7390389404791783,0.8542926644200942
0.7507936820933488,0.8497176906425049
0.7634139952852048,0.8455667388247896
0.7763358464137107,0.8410810328282264
0.7896001517610607,0.8360150862549934
0.799887831920447,0.8275569640027673
0.8097678425482097,0.8181168961592538
0.8188917560776857,0.8073601285456047
0.8272028961964215,0.795487513669129
0.8348650064282653,0.7825660023655961
0.8421580131025717,0.7688410810328282
0.8505877034358047,0.7558079850030128
0.85702848583456,0.7405878283380571
0.862936877076412,0.7245865785891227
0.8682675720818159,0.7076703340846705
0.8734545249251962,0.6905532370729095
0.8790014855378521,0.6734584570064049
0.8844429736153314,0.6560735566515655
0.8897495722507388,0.6382869512821086
0.8939198763364679,0.619473766430851
0.8985778193229619,0.6006828985248499
0.902914976950539,0.581356423932692
0.9069960331770646,0.5612934901470686
0.9112363773017662,0.5411412885804191
0.9148501629943836,0.5198286058604298
0.9185227880933756,0.4978910486732576
0.922503144108591,0.47472605949697605
0.9263752929822142,0.44984266553594143
0.9309510882977148,0.42094222142873083
0.936110053830678,0.38420852953647705
0.9548034475509775,0.20272713071034837
