Wall time,Step,Value
1566284288.246583,0,0.8740316033363342
1566287489.6281903,1,0.9236840009689331
1566290676.679501,2,0.9386616349220276
1566293858.731026,3,0.9470540285110474
1566297072.0135486,4,0.9541634321212769
1566300288.101377,5,0.9588945508003235
1566303483.3394992,6,0.9634731411933899
1566306682.648854,7,0.9663971066474915
1566309860.8088298,8,0.9689357280731201
1566313029.70747,9,0.9709345698356628
1566316223.4401205,10,0.972655713558197
1566319411.371917,11,0.9742712378501892
1566322586.692133,12,0.9754896759986877
1566325790.0161848,13,0.9766631722450256
1566328989.2221246,14,0.9776528477668762
1566332186.4359534,15,0.9784664511680603
1566335400.5336635,16,0.9792018532752991
1566338570.4982831,17,0.9797181487083435
1566341750.1633725,18,0.9803459644317627
1566344956.6341174,19,0.9810344576835632
1566348185.027702,20,0.9813786745071411
1566351405.4297388,21,0.9818069934844971
1566354629.3374572,22,0.9822470545768738
1566357840.5669527,23,0.9825736880302429
1566361038.141677,24,0.9827144742012024
1566364215.10525,25,0.9830293655395508
1566367419.9760566,26,0.9832718968391418
1566370638.2957191,27,0.9834185838699341
1566373849.2726712,28,0.9836982488632202
1566377042.916832,29,0.98395836353302
1566380222.788107,30,0.9840151071548462
1566383400.8873062,31,0.9842556715011597
1566386579.3335178,32,0.9843495488166809
1566389771.871957,33,0.9844180345535278
1566392976.6748064,34,0.9845138192176819
1566396201.1233149,35,0.9846546649932861
1566399405.7721741,36,0.9848541617393494
1566402582.944937,37,0.9848111271858215
1566405760.8497415,38,0.9849538803100586
1566408979.928816,39,0.9849167466163635
1566412161.3908186,40,0.9850028157234192
1566415320.6866844,41,0.9850360155105591
1566418512.9539123,42,0.9851357936859131
1566421675.9868944,43,0.9851182103157043
1566424854.6084352,44,0.9852003455162048
1566428038.5494537,45,0.9852609634399414
1566431236.5212967,46,0.9851710200309753
1566434465.4255714,47,0.9853333234786987
1566437673.1375117,48,0.9852883219718933
1566440868.8319461,49,0.9853646159172058
