Wall time,Step,Value
1566284288.2465467,0,0.11454208940267563
1566287489.6281543,1,0.07572851330041885
1566290676.6794658,2,0.06359803676605225
1566293858.730989,3,0.055828556418418884
1566297072.0135121,4,0.05033840611577034
1566300288.1013436,5,0.046051155775785446
1566303483.339466,6,0.042296066880226135
1566306682.6488209,7,0.039692968130111694
1566309860.8087947,8,0.037603478878736496
1566313029.7074342,9,0.03551000729203224
1566316223.4400904,10,0.034023217856884
1566319411.3718789,11,0.032351430505514145
1566322586.6921144,12,0.031163513660430908
1566325790.0161552,13,0.03004802204668522
1566328989.2220933,14,0.029199009761214256
1566332186.4359171,15,0.02838164195418358
1566335400.5336306,16,0.027668146416544914
1566338570.4982526,17,0.027004659175872803
1566341750.163348,18,0.026442941278219223
1566344956.6340802,19,0.025943253189325333
1566348185.0276704,20,0.02547464519739151
1566351405.4297035,21,0.025014715269207954
1566354629.337422,22,0.02464604191482067
1566357840.5669167,23,0.024378005415201187
1566361038.141641,24,0.02408566139638424
1566364215.1052134,25,0.023799853399395943
1566367419.9760208,26,0.023581992834806442
1566370638.2956834,27,0.023354997858405113
1566373849.2726362,28,0.023167524486780167
1566377042.9167976,29,0.02296045981347561
1566380222.7880776,30,0.022851545363664627
1566383400.887289,31,0.02267782762646675
1566386579.3334787,32,0.022562038153409958
1566389771.87192,33,0.022472936660051346
1566392976.6747754,34,0.022348592057824135
1566396201.1232793,35,0.02225542813539505
1566399405.7721384,36,0.02216477133333683
1566402582.9449022,37,0.022100023925304413
1566405760.8497055,38,0.022023329511284828
1566408979.928782,39,0.021962860599160194
1566412161.3907802,40,0.02189764566719532
1566415320.6866515,41,0.021856490522623062
1566418512.9538767,42,0.021809278056025505
1566421675.986858,43,0.02177606336772442
1566424854.6084096,44,0.021733151748776436
1566428038.5494177,45,0.021699076518416405
1566431236.5212655,46,0.021673018112778664
1566434465.4255536,47,0.021647367626428604
1566437673.137481,48,0.02161679044365883
1566440868.8319106,49,0.021595848724246025
