precision,recall
0.39655035089427154,1.0
0.400505917265544,0.999955366109487
0.40455961356146447,0.999955366109487
0.408696207380922,0.999955366109487
0.41292207313476853,0.999955366109487
0.4172401270148712,0.999955366109487
0.421628132381033,0.9999330491642304
0.4261136683531784,0.9999107322189739
0.4307013496366363,0.9999107322189739
0.43539735292402776,0.9999107322189739
0.4401925627548263,0.9999107322189739
0.4450835469193936,0.9998660983284609
0.4500904159132007,0.9998437813832043
0.45520128431790935,0.9997991474926912
0.4604505837855616,0.9997991474926912
0.46579117017073224,0.9997321966569216
0.4712788789294281,0.999709879711665
0.47689212064431646,0.999665245821152
0.4826200327557969,0.9995982949853824
0.4884989147861747,0.9995536610948693
0.49450124770885323,0.9994643933138432
0.5006875887436691,0.9994197594233302
0.5070768603650527,0.9994197594233302
0.5136077437408967,0.9994197594233302
0.5203211414230609,0.9994197594233302
0.5271881805874389,0.9993974424780736
0.5342328477864071,0.999375125532817
0.5414555699309578,0.9993528085875605
0.5488710745017283,0.9993081746970475
0.5565070408531053,0.9992635408065345
0.5643701630996496,0.9992635408065345
0.5724824835063673,0.9992412238612779
0.5807886885458555,0.9991965899707648
0.589340248525695,0.9991519560802518
0.5981775426219871,0.9991296391349952
0.6072489521303293,0.9990626882992256
0.616595727096161,0.9989734205181995
0.6262224896114617,0.9988618357919168
0.6361155333181715,0.9987279341203776
0.6463909633246183,0.998660983284608
0.656970853828647,0.9985270816130688
0.6678361350810665,0.9983039121605035
0.6791272528507007,0.9981923274342208
0.6908046154559075,0.9980584257626816
0.7028420523138833,0.9978352563101163
0.715289223137851,0.997612086857551
0.7282637033174738,0.9974558682407552
0.7416056698036482,0.9971434310071637
0.7553146510172674,0.996697092102033
0.7694893631693273,0.9961168515253632
0.7842123769338959,0.9954696601129237
0.7995121863735002,0.9948894195362539
0.8153516718827212,0.9942199111785579
0.8315520011958594,0.9931710147515008
0.8482737561310763,0.9919212658171349
0.8657019152006865,0.9906045660469995
0.8833745413941617,0.9887076257001941
0.900858640451959,0.9857394719810753
0.9184320928388053,0.9820125421232342
0.9350929685830306,0.9764333058091008
0.9503515034712336,0.9684215224620054
0.9622285598796344,0.9562587872971947
0.9721390053924506,0.9414403356468567
0.9791025701708714,0.9232743422080386
0.984385260853703,0.9032337253676717
0.9881932110963804,0.8816309223593475
0.990964553247355,0.8591131245955054
0.9926544683107928,0.8353902117878105
0.9934379613933395,0.8108638889508804
0.9943566591422122,0.786449150840233
0.9954810495626822,0.762012095784329
0.9961986363362095,0.7369055323707291
0.996842862054953,0.7116873842308464
0.9970825634542448,0.6864469191457073
0.9974755124709684,0.6613403557321074
0.9977589467049514,0.6358990381396594
0.9980304190830507,0.6106585730545203
0.9981735854800046,0.5854404249146377
0.9981698098193682,0.559887522595907
0.9982493435038139,0.5344685219487156
0.9982052965637995,0.508915619629985
0.9982021850366478,0.48325113258497177
0.9984911904993673,0.45783213193778033
0.9984028851107677,0.4324800821263585
0.9985211961879724,0.4068602289718583
0.9987145027462896,0.3814412283246669
0.9989359704575327,0.35617844629427126
0.9990560312858202,0.3306701778660537
0.9991964937910884,0.3052734941641188
0.9992829256632938,0.2798991274074405
0.9992980608932175,0.2541676895266576
0.9993174726989079,0.22872637193420964
0.9993416721527321,0.20326273739650516
0.9993724111961843,0.177687518132518
0.9992676138860407,0.15224620054007007
0.9994729444834856,0.12696110156441787
0.9997803645947727,0.10158673480773951
1.0,0.07614541721529157
1.0,0.050704099622843626
1.0,0.025508268428217545
1.0,0.00017853556205226628
